timestamp_ms,latitude,longitude,altitude_m,fix_quality,satellites,hdop,speed_kn,heading_deg
3147893,41.4906775,-91.7033830,194.3936,1,20,0.8,0.55416,2113
3148017,41.4906775,-91.7033830,194.3936,1,20,0.8,0.55416,2112
3148105,41.4906777,-91.7033831,194.3949,1,20,0.8,0.45109,2112
3148212,41.4906777,-91.7033831,194.3949,1,20,0.8,0.45109,2112
3148308,41.4906775,-91.7033831,194.4060,1,20,0.8,0.45109,2112
3148517,41.4906775,-91.7033831,194.4060,1,20,0.8,0.45109,2112
3148896,41.4906774,-91.7033830,194.4374,1,20,0.8,0.22392,2112
3149049,41.4906774,-91.7033830,194.4374,1,20,0.8,0.22392,2112
3149404,41.4906775,-91.7033826,194.5323,1,20,0.8,0.03192,2112
3149505,41.4906775,-91.7033826,194.5323,1,20,0.8,0.03192,2112
3149818,41.4906775,-91.7033826,194.5323,1,20,0.8,0.03192,2112
3149908,41.4906774,-91.7033824,194.5878,1,20,0.8,0.20953,2112
3150057,41.4906774,-91.7033824,194.5878,1,20,0.8,0.20953,2112
3150414,41.4906692,-91.7033862,194.4966,1,20,0.8,0.38459,2112
3150506,41.4906693,-91.7033863,194.4884,1,20,0.8,0.41863,2112
3150655,41.4906693,-91.7033863,194.4884,1,20,0.8,0.41863,2112
3151107,41.4906695,-91.7033867,194.3927,1,20,0.8,0.49649,2112
3151376,41.4906695,-91.7033867,194.3927,1,20,0.8,0.49649,2112
3151693,41.4906719,-91.7033877,194.2199,1,20,0.8,0.71312,2112
3151841,41.4906719,-91.7033877,194.2199,1,20,0.8,0.71312,2112
3152099,41.4906722,-91.7033889,193.9840,1,21,0.7,0.72112,2112
3152222,41.4906722,-91.7033889,193.9840,1,21,0.7,0.72112,2112
3152439,41.4906726,-91.7033895,193.8604,1,21,0.7,0.72112,2112
3152596,41.4906726,-91.7033895,193.8604,1,21,0.7,0.72112,2112
3152896,41.4906728,-91.7033908,193.5716,1,21,0.7,0.72112,2112
3153059,41.4906728,-91.7033908,193.5716,1,21,0.7,0.72112,2112
3153417,41.4906731,-91.7033919,193.3469,1,20,0.8,0.46216,2112
3153504,41.4906731,-91.7033920,193.3329,1,20,0.8,0.44654,2112
3153652,41.4906731,-91.7033920,193.3329,1,20,0.8,0.44654,2112
3153821,41.4906730,-91.7033921,193.3025,1,21,0.7,0.35806,2112
3153907,41.4906730,-91.7033921,193.2784,1,21,0.7,0.39313,2112
3154060,41.4906730,-91.7033921,193.2784,1,21,0.7,0.39313,2112
3154306,41.4906732,-91.7033926,193.1933,1,21,0.7,0.51445,2112
3154575,41.4906732,-91.7033926,193.1933,1,21,0.7,0.51445,2112
3154802,41.4906731,-91.7033926,193.1867,1,21,0.7,0.37640,2112
3154893,41.4906732,-91.7033926,193.1968,1,21,0.7,0.31445,2112
3155033,41.4906732,-91.7033926,193.1968,1,21,0.7,0.31445,2112
3155299,41.4906732,-91.7033929,193.1366,1,21,0.7,0.32629,2112
3155445,41.4906732,-91.7033929,193.1366,1,21,0.7,0.32629,2112
3155785,41.4906735,-91.7033931,193.0761,1,21,0.7,0.28431,2112
3155890,41.4906735,-91.7033931,193.0761,1,21,0.7,0.28431,2112
3156219,41.4906736,-91.7033935,192.9871,1,21,0.7,0.17554,2112
3156293,41.4906736,-91.7033935,192.9871,1,21,0.7,0.17554,2112
3156551,41.4906787,-91.7033900,193.1803,1,21,0.7,0.17554,2112
3156658,41.4906787,-91.7033900,193.1803,1,21,0.7,0.17554,2112
3156957,41.4906787,-91.7033904,193.7,1,21,0.7,0.07755,2112
3157118,41.4906788,-91.7033903,193.0984,1,19,0.8,0.17993,2112
3157279,41.4906788,-91.7033903,193.0984,1,19,0.8,0.17993,2112
3157423,41.4906807,-91.7033879,193.3787,1,21,0.7,0.12596,2112
3157807,41.4906807,-91.7033878,193.3854,1,21,0.7,0.16238,2112
3157998,41.4906807,-91.7033878,193.3854,1,21,0.7,0.16238,2112
3158409,41.4906801,-91.7033857,193.8653,1,21,0.7,0.36146,2112
3158495,41.4906799,-91.7033854,193.9597,1,21,0.7,0.38168,2112
3158645,41.4906799,-91.7033854,193.9597,1,21,0.7,0.38168,2112
3158825,41.4906798,-91.7033846,194.1209,1,20,0.8,0.38440,2112
3159035,41.4906795,-91.7033843,194.1765,1,19,0.9,0.47233,2112
3159202,41.4906795,-91.7033843,194.1765,1,19,0.9,0.47233,2112
3159428,41.4906795,-91.7033843,194.1765,1,19,0.9,0.47233,2112
3159609,41.4906795,-91.7033843,194.1765,1,19,0.9,0.36215,2112
3159688,41.4906794,-91.7033827,194.5097,1,20,0.8,0.36215,2112
3159896,41.4906795,-91.7033826,194.5529,1,20,0.8,0.30961,2112
3160054,41.4906795,-91.7033826,194.5529,1,20,0.8,0.30961,2112
3160206,41.4906791,-91.7033815,194.7985,1,21,0.7,0.30961,2112
3160310,41.4906789,-91.7033811,194.8873,1,21,0.7,0.29634,2112
3160474,41.4906789,-91.7033811,194.8873,1,21,0.7,0.29634,2112
3160887,41.4906788,-91.7033800,195.1135,1,21,0.7,0.19283,2112
3161055,41.4906788,-91.7033800,195.1135,1,21,0.7,0.19283,2112
3161644,41.4906784,-91.7033794,195.2314,1,21,0.7,0.18573,2112
3161796,41.4906784,-91.7033794,195.2314,1,21,0.7,0.18573,2112
3162049,41.4906782,-91.7033783,195.4671,1,20,0.8,0.18573,2112
3162137,41.4906782,-91.7033783,195.4671,1,20,0.8,0.18573,2112
3162401,41.4906779,-91.7033776,195.6510,1,21,0.7,0.06515,2112
3162605,41.4906780,-91.7033773,195.6853,1,21,0.7,0.05112,2112
3162703,41.4906780,-91.7033773,195.6853,1,21,0.7,0.05112,2112
3163015,41.4906779,-91.7033766,195.8636,1,21,0.7,0.12206,2112
3163107,41.4906779,-91.7033764,195.9062,1,21,0.7,0.08901,2113
3163229,41.4906779,-91.7033764,195.9062,1,21,0.7,0.08901,2113
3163489,41.4906777,-91.7033764,195.9103,1,21,0.7,0.08901,2112
